,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,134,134,134,134,134,134,134,134,134,134,134,134,134
Reserves,475,457,450,477,493,524,547,574,600,632,655,674,680
Borrowings +,25,25,-0,-0,-0,-0,-0,-0,-0,0,0,0,0
Other Liabilities +,12,1,12,2,17,11,7,4,3,22,9,5,6
Total Liabilities,646,617,597,613,644,669,688,713,737,788,799,814,821
Fixed Assets +,6,6,8,8,8,5,7,7,8,8,7,7,7
CWIP,1,2,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,303,314,382,478,379,356,490,515,486,453,451,466,461
Other Assets +,336,295,206,127,257,309,191,191,243,327,341,340,352
Total Assets,646,617,597,613,644,669,688,713,737,788,799,814,821
