,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,8,8,8,8,8
Reserves,54,63,71,79,84
Borrowings +,37,56,58,39,29
Other Liabilities +,50,69,70,75,70
Total Liabilities,148,196,208,200,190
Fixed Assets +,51,71,67,66,58
CWIP,6,4,7,7,7
Investments,0,0,0,0,0
Other Assets +,91,121,133,127,124
Total Assets,148,196,208,200,190
