,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,14,18,18,18,18,18,18
Reserves,-0,27,78,95,100,110,121,131
Borrowings +,-0,45,55,61,68,85,85,97
Other Liabilities +,0,46,42,59,57,67,66,64
Total Liabilities,5,132,192,232,243,279,290,310
Fixed Assets +,0,34,61,92,96,115,129,129
CWIP,-0,2,7,9,15,11,2,3
Investments,1,0,0,2,5,6,0,0
Other Assets +,4,95,124,129,127,148,158,178
Total Assets,5,132,192,232,243,279,290,310
