,Mar 2009,Mar 2010,Mar 2011
Sales +,"1,950","2,098","2,266"
Expenses +,"1,458","1,748","2,903"
Operating Profit,492,350,-637
OPM %,25%,17%,-28%
Other Income +,108,247,"1,834"
Interest,306,351,359
Depreciation,463,564,758
Profit before tax,-169,-318,80
Tax %,-1%,0%,0%
Net Profit,-170,-318,80
EPS in Rs,-0.79,-1.48,0.37
