,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,12,12,18,18,25,25,25,25,25,25
Reserves,142,166,203,259,468,516,559,579,572,-152
Borrowings +,344,282,451,341,333,387,411,739,742,895
Other Liabilities +,261,190,344,412,340,368,352,535,454,302
Total Liabilities,759,650,"1,016","1,030","1,167","1,296","1,346","1,878","1,794","1,069"
Fixed Assets +,55,62,72,81,79,116,113,117,108,81
CWIP,0,0,2,0,1,0,0,3,0,0
Investments,0,0,2,1,3,4,4,6,3,2
Other Assets +,703,587,940,948,"1,083","1,176","1,229","1,753","1,683",986
Total Assets,759,650,"1,016","1,030","1,167","1,296","1,346","1,878","1,794","1,069"
