,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,76,76,76,76,76,76,76,76,76,76,76,76,76
Reserves,624,632,695,730,766,707,800,908,764,829,818,883,881
Borrowings +,175,226,173,337,378,791,762,690,807,747,678,541,596
Other Liabilities +,440,557,558,730,846,"1,198","1,225",988,"1,980","2,078","2,329","2,470","2,795"
Total Liabilities,"1,314","1,491","1,501","1,873","2,066","2,771","2,862","2,662","3,627","3,730","3,901","3,970","4,348"
Fixed Assets +,59,55,133,112,119,135,127,118,104,294,286,286,294
CWIP,4,1,5,15,11,2,2,0,0,1,0,0,1
Investments,78,73,8,15,6,3,4,0,3,1,18,61,49
Other Assets +,"1,173","1,362","1,356","1,730","1,930","2,632","2,728","2,544","3,520","3,434","3,598","3,623","4,004"
Total Assets,"1,314","1,491","1,501","1,873","2,066","2,771","2,862","2,662","3,627","3,730","3,901","3,970","4,348"
