,Jun 2008,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016
Share Capital +,11,11,11,11,11,11,21,24,24
Reserves,70,88,108,139,135,186,251,81,-219
Borrowings +,214,262,343,344,508,644,725,821,836
Other Liabilities +,34,37,50,102,129,139,172,86,82
Total Liabilities,330,397,512,596,781,980,"1,169","1,012",723
Fixed Assets +,57,56,184,181,201,272,325,332,319
CWIP,44,107,23,27,60,43,15,0,0
Investments,1,1,3,3,3,3,1,0,0
Other Assets +,229,234,302,385,517,662,829,680,404
Total Assets,330,397,512,596,781,980,"1,169","1,012",723
