,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,56,56,56,56,56,56,56,56,58,58,58,58
Reserves,253,363,252,175,102,144,137,123,123,113,53,-16,-7
Borrowings +,30,690,757,"1,227",730,385,343,238,154,222,195,277,257
Other Liabilities +,74,224,205,242,461,300,353,308,307,375,339,250,254
Total Liabilities,368,"1,332","1,270","1,700","1,349",884,890,725,640,767,645,569,561
Fixed Assets +,195,543,556,656,657,227,266,268,221,344,278,256,247
CWIP,57,134,66,105,19,12,3,10,6,12,6,6,7
Investments,8,99,104,77,131,247,96,68,64,47,18,49,57
Other Assets +,108,556,543,862,542,398,525,379,348,364,343,257,250
Total Assets,368,"1,332","1,270","1,700","1,349",884,890,725,640,767,645,569,561
