,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10.58,20.33,20.33,20.75
Reserves,146.70,60.17,51.46,49.16
Borrowings +,0.00,0.00,0.00,0.00
Other Liabilities +,67.95,44.06,45.94,53.98
Total Liabilities,225.23,124.56,117.73,123.89
Fixed Assets +,122.17,49.62,36.01,29.48
CWIP,6.72,1.52,1.52,1.52
Investments,6.70,8.25,12.07,29.42
Other Assets +,89.64,65.17,68.13,63.47
Total Assets,225.23,124.56,117.73,123.89
