,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,115,120,122,124,125,125,125,125,125,125,125,159,166
Reserves,283,355,409,459,417,131,-104,-255,-412,-143,-181,-37,61
Borrowings +,431,482,662,832,825,885,"1,072","1,031","1,111",579,702,585,487
Other Liabilities +,132,203,226,250,349,387,258,383,457,519,365,307,290
Total Liabilities,962,"1,160","1,419","1,665","1,716","1,528","1,350","1,284","1,281","1,080","1,012","1,013","1,004"
Fixed Assets +,397,446,441,461,608,579,542,587,552,502,469,439,427
CWIP,38,94,145,234,123,124,124,113,114,100,100,100,100
Investments,0,0,2,2,3,0,0,0,3,0,0,0,0
Other Assets +,527,619,831,968,982,824,685,583,612,478,443,474,477
Total Assets,962,"1,160","1,419","1,665","1,716","1,528","1,350","1,284","1,281","1,080","1,012","1,013","1,004"
