,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,124,124,124,124,124,124,124,124
Reserves,"1,466","2,191","2,671","2,452","1,862","3,015","3,804","3,771"
Borrowings +,212,94,101,90,283,204,278,27
Other Liabilities +,583,588,610,666,623,951,"1,140",878
Total Liabilities,"2,385","2,997","3,506","3,332","2,891","4,294","5,345","4,799"
Fixed Assets +,850,855,884,951,"1,017","1,002",993,986
CWIP,7,22,90,90,7,8,9,31
Investments,854,"1,264","1,607","1,362",656,"1,679","2,718","2,464"
Other Assets +,675,856,925,929,"1,211","1,604","1,625","1,318"
Total Assets,"2,385","2,997","3,506","3,332","2,891","4,294","5,345","4,799"
