,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,76.96,60.31,62.02,53.36,49.36
Expenses +,69.78,57.93,59.05,51.27,48.53
Operating Profit,7.18,2.38,2.97,2.09,0.83
OPM %,9.33%,3.95%,4.79%,3.92%,1.68%
Other Income +,4.89,6.72,3.40,4.15,4.31
Interest,1.30,1.25,0.88,0.84,1.26
Depreciation,4.76,4.89,4.62,4.86,4.91
Profit before tax,6.01,2.96,0.87,0.54,-1.03
Tax %,23.29%,32.09%,28.74%,14.81%,
Net Profit,4.61,2.00,-0.43,-5.11,-2.92
EPS in Rs,5.15,2.24,-0.48,-5.71,-3.27
