,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,491,492,492,493,494,494,486,905,"1,207","1,143","1,096","1,096","1,097"
Reserves,"21,996","26,526","26,072","31,636","36,598","45,651","51,184","47,022","55,216","54,179","53,805","64,307","70,215"
Borrowings +,"5,280","5,896","6,381","5,159","7,891","12,522","14,241","13,901","9,947","9,724","10,451","17,593","19,459"
Other Liabilities +,"9,053","10,318","10,675","12,245","13,367","12,924","12,761","13,563","16,217","15,954","17,213","24,280","22,972"
Total Liabilities,"36,820","43,231","43,621","49,533","58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","113,743"
Fixed Assets +,"10,488","12,436","9,996","10,649","10,837","17,279","19,886","18,127","17,465","22,062","23,040","37,990","43,937"
CWIP,503,347,407,369,395,381,738,"1,378","2,142","1,881","1,853","1,602","1,733"
Investments,"5,241","4,472","6,765","6,146","5,532","20,915","29,913","25,797","22,887","20,032","18,775","26,154","29,635"
Other Assets +,"20,588","25,977","26,454","32,368","41,586","33,016","28,135","30,090","40,093","37,024","38,898","41,531","38,438"
Total Assets,"36,820","43,231","43,621","49,533","58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","113,743"
