,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,180,204,204,204,204,124,124,124,127,128,128,137,138
Reserves,-233,-82,-25,430,753,716,840,"1,037","1,306","1,540","1,788","2,661","2,770"
Borrowings +,453,412,379,321,317,544,539,469,590,734,942,756,759
Other Liabilities +,"1,536","1,349",812,797,653,791,773,959,"1,271","1,427","2,358","1,617","1,627"
Total Liabilities,"1,855","1,803","1,290","1,672","1,847","2,175","2,275","2,588","3,294","3,829","5,216","5,171","5,294"
Fixed Assets +,167,165,183,230,199,175,188,196,238,504,508,528,633
CWIP,16,20,22,1,4,1,2,10,86,34,36,108,89
Investments,983,915,310,313,272,57,50,55,60,58,41,55,62
Other Assets +,689,703,775,"1,128","1,373","1,943","2,035","2,327","2,911","3,233","4,631","4,480","4,510"
Total Assets,"1,855","1,803","1,290","1,672","1,847","2,175","2,275","2,588","3,294","3,829","5,216","5,171","5,294"
