,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,374","1,719","1,875","1,696","3,038","4,053"
Expenses +,"1,008","1,264","1,280",991,"2,265","3,274"
Operating Profit,366,455,595,704,773,779
OPM %,27%,26%,32%,42%,25%,19%
Other Income +,80,59,44,30,42,37
Interest,125,90,41,40,53,69
Depreciation,61,67,51,63,83,95
Profit before tax,259,357,547,631,679,653
Tax %,36%,36%,20%,25%,26%,
Net Profit,162,229,436,463,509,507
EPS in Rs,,2.08,3.97,4.21,4.63,4.61
