,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,290,197,197,197,197,197,197,197,197,197,197,197,197
Reserves,"2,057","2,315","2,588","2,898","3,151","3,277","3,831","4,491","5,329","5,527","6,857","7,958","8,663"
Borrowings +,0,0,0,0,0,0,0,0,0,0,80,95,81
Other Liabilities +,612,394,446,468,397,285,350,585,670,782,812,648,685
Total Liabilities,"2,866","2,906","3,232","3,564","3,745","3,759","4,378","5,273","6,197","6,507","7,946","8,898","9,626"
Fixed Assets +,"1,296","1,246","1,377","1,373","1,179",845,"1,225","1,153","1,112","1,145",946,"1,791","1,623"
CWIP,11,4,3,2,2,1,2,49,13,66,146,244,74
Investments,272,224,244,472,506,636,"1,148","2,147","2,801","2,692","3,504","3,559","4,636"
Other Assets +,"1,287","1,433","1,609","1,717","2,058","2,278","2,004","1,923","2,271","2,603","3,351","3,304","3,293"
Total Assets,"2,866","2,906","3,232","3,564","3,745","3,759","4,378","5,273","6,197","6,507","7,946","8,898","9,626"
