,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,25,50,50,50,53,53,106,106,106,106,106,106
Reserves,323,392,464,627,907,"1,530","2,001","2,487","2,496","2,531","2,558","2,642","2,646"
Borrowings +,163,459,542,492,416,320,144,-0,-0,-0,-0,-0,-0
Other Liabilities +,179,240,327,555,664,189,71,400,116,182,212,188,202
Total Liabilities,689,"1,116","1,383","1,725","2,037","2,092","2,268","2,993","2,718","2,819","2,876","2,936","2,954"
Fixed Assets +,272,537,420,436,273,132,29,90,143,149,156,139,135
CWIP,-0,14,17,48,10,-0,0,3,13,5,5,6,3
Investments,3,1,2,3,2,2,2,29,4,3,1,2,2
Other Assets +,414,563,943,"1,238","1,753","1,959","2,238","2,871","2,558","2,662","2,714","2,789","2,814"
Total Assets,689,"1,116","1,383","1,725","2,037","2,092","2,268","2,993","2,718","2,819","2,876","2,936","2,954"
