,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,6,8,8,6
Reserves,313,406,734,999,"1,303","1,396"
Borrowings +,329,181,237,135,348,391
Other Liabilities +,224,209,274,351,355,388
Total Liabilities,872,802,"1,250","1,492","2,012","2,181"
Fixed Assets +,126,132,162,199,236,239
CWIP,5,0,1,9,34,46
Investments,1,5,39,75,62,32
Other Assets +,740,664,"1,049","1,208","1,681","1,864"
Total Assets,872,802,"1,250","1,492","2,012","2,181"
