,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,24,29,29,199,199,199,199,199,199
Reserves,203,331,359,490,428,368,322,261,211
Borrowings +,55,117,123,123,120,119,119,118,117
Other Liabilities +,79,49,75,177,226,244,270,298,321
Total Liabilities,361,526,586,989,973,929,909,876,848
Fixed Assets +,3,34,203,200,177,154,132,102,70
CWIP,60,183,16,161,170,171,170,161,161
Investments,19,7,0,0,0,0,0,0,19
Other Assets +,279,302,367,629,625,604,606,613,598
Total Assets,361,526,586,989,973,929,909,876,848
