,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2018
Share Capital +,10,13,16,16,16,16,16,16,30,30,30,30
Reserves,94,206,392,470,559,663,893,895,382,-211,-982,"-1,025"
Borrowings +,38,59,57,157,433,505,761,"1,068","1,099","1,033","1,014","1,006"
Other Liabilities +,16,22,50,84,109,233,212,291,352,305,114,158
Total Liabilities,159,300,516,727,"1,118","1,417","1,882","2,271","1,862","1,157",176,169
Fixed Assets +,38,37,87,144,296,338,488,796,655,415,45,36
CWIP,0,7,0,10,27,54,72,215,61,63,0,1
Investments,0,20,34,0,6,6,7,7,12,28,14,13
Other Assets +,121,236,395,573,789,"1,019","1,315","1,252","1,134",651,116,117
Total Assets,159,300,516,727,"1,118","1,417","1,882","2,271","1,862","1,157",176,169
