,Mar 2021,Mar 2022,TTM
Sales +,716,598,612
Expenses +,954,966,979
Operating Profit,-237,-368,-367
OPM %,-33%,-62%,-60%
Other Income +,99,225,85
Interest,240,272,328
Depreciation,93,92,101
Profit before tax,-472,-507,-711
Tax %,30%,34%,
Net Profit,-331,-332,-584
EPS in Rs,-156.80,-108.66,-273.43
