,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,102,118,146,174,213,226,243,295,338,384,443,529,604
Borrowings +,122,124,148,146,123,132,76,44,74,19,0,10,20
Other Liabilities +,97,125,140,169,163,224,199,305,239,245,296,382,389
Total Liabilities,327,372,440,494,504,587,524,649,656,654,744,926,"1,019"
Fixed Assets +,80,90,101,109,115,131,129,137,154,171,188,202,216
CWIP,1,1,2,2,3,4,6,6,7,7,11,6,1
Investments,7,5,3,3,5,2,2,2,4,5,0,0,0
Other Assets +,239,276,334,380,381,450,386,505,491,471,545,718,801
Total Assets,327,372,440,494,504,587,524,649,656,654,744,926,"1,019"
