,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,20,20,19,19,29,29,29,29,29,29,29
Reserves,139,146,236,245,195,161,98,89,-92,216,232,230,215
Borrowings +,503,630,721,837,950,"1,044",983,"1,038","1,075",338,338,338,338
Other Liabilities +,103,97,119,264,187,246,316,319,342,81,95,84,84
Total Liabilities,761,890,"1,095","1,365","1,351","1,470","1,426","1,475","1,353",663,693,680,665
Fixed Assets +,94,117,116,109,79,67,72,62,34,28,23,15,14
CWIP,0,42,107,175,208,273,373,429,420,420,420,421,421
Investments,3,2,1,1,1,1,4,5,16,15,15,15,15
Other Assets +,663,730,872,"1,080","1,062","1,129",977,978,883,200,236,230,216
Total Assets,761,890,"1,095","1,365","1,351","1,470","1,426","1,475","1,353",663,693,680,665
