,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,247,292,329,378,419,466,539,645,631,692,748,834,864
Borrowings +,0,0,0,16,10,0,0,0,0,0,17,14,14
Other Liabilities +,76,83,102,109,144,151,111,116,128,144,121,121,158
Total Liabilities,333,384,441,513,583,627,660,771,769,846,896,978,"1,045"
Fixed Assets +,34,34,65,89,91,92,37,36,34,54,46,46,49
CWIP,0,0,1,7,0,1,1,0,1,2,3,2,1
Investments,191,236,229,277,257,185,311,338,182,104,177,454,506
Other Assets +,108,114,146,140,234,350,312,396,552,685,669,478,489
Total Assets,333,384,441,513,583,627,660,771,769,846,896,978,"1,045"
