,Mar 2006,Mar 2007,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,12,12,17,17,17,17,17,17,17
Reserves,-25,-25,39,85,111,114,96,-75,-236
Borrowings +,108,49,5,66,67,137,148,53,46
Other Liabilities +,114,66,83,203,340,310,395,556,553
Total Liabilities,210,103,144,370,535,578,657,551,380
Fixed Assets +,32,28,30,48,73,82,116,106,96
CWIP,0,0,0,2,6,42,0,0,0
Investments,0,0,0,0,0,2,2,2,0
Other Assets +,178,75,114,320,455,452,539,443,284
Total Assets,210,103,144,370,535,578,657,551,380
