,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,24,24,32,38,49,103,111,111
Reserves,19,33,105,164,289,416,619,-250
Borrowings +,97,115,105,135,229,452,668,928
Other Liabilities +,77,263,218,255,578,807,791,"2,117"
Total Liabilities,217,435,461,592,"1,145","1,777","2,189","2,905"
Fixed Assets +,70,66,64,82,96,147,119,139
CWIP,0,0,17,0,0,15,12,1
Investments,0,0,13,14,14,14,14,14
Other Assets +,147,368,366,495,"1,035","1,601","2,044","2,751"
Total Assets,217,435,461,592,"1,145","1,777","2,189","2,905"
