,Mar 2016,Mar 2017,Mar 2018
Sales +,68,119,190
Expenses +,70,106,157
Operating Profit,-2,13,33
OPM %,-3%,11%,18%
Other Income +,1,1,1
Interest,0,1,2
Depreciation,1,2,4
Profit before tax,-2,10,29
Tax %,0%,51%,38%
Net Profit,-2,5,18
EPS in Rs,-3.94,5.07,17.71
