,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,32,32,44,44,44
Reserves,138,165,281,341,427
Borrowings +,419,490,535,712,605
Other Liabilities +,127,194,200,341,340
Total Liabilities,716,881,"1,059","1,437","1,415"
Fixed Assets +,388,492,629,945,928
CWIP,2,18,6,7,72
Investments,-0,0,0,-0,0
Other Assets +,326,370,425,486,415
Total Assets,716,881,"1,059","1,437","1,415"
