,Mar 2021,Mar 2022,TTM
Sales +,518,954,"1,151"
Expenses +,439,821,"1,009"
Operating Profit,80,133,142
OPM %,15%,14%,12%
Other Income +,19,16,17
Interest,30,40,45
Depreciation,30,39,41
Profit before tax,39,71,72
Tax %,25%,26%,
Net Profit,29,52,53
EPS in Rs,8.97,16.18,16.58
