,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Sep 2012
Share Capital +,117,143,150,150,0,150
Reserves,380,609,795,695,0,503
Borrowings +,"1,275","1,793","2,201","2,847",0,"2,770"
Other Liabilities +,122,108,157,154,0,"1,020"
Total Liabilities,"1,893","2,653","3,303","3,846",0,"4,443"
Fixed Assets +,"1,752","2,439","3,124","3,536",0,"2,912"
CWIP,0,0,0,0,0,0
Investments,18,20,22,23,0,64
Other Assets +,123,194,157,287,0,"1,467"
Total Assets,"1,893","2,653","3,303","3,846",0,"4,443"
