,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,296,296,296,196,196,197,197,191,375,375,370,366,366
Reserves,"24,209","29,284","38,350","48,999","50,439","70,875","86,017","84,937","89,071","83,751","86,063","88,773","97,088"
Borrowings +,75,127,232,297,358,245,289,247,62,"8,174","7,795","7,818","7,460"
Other Liabilities +,"8,092","11,551","13,154","17,337","22,325","16,974","15,830","19,751","24,393","27,820","35,764","43,967","43,259"
Total Liabilities,"32,572","41,157","51,932","66,829","73,318","88,291","102,333","105,126","113,901","120,120","129,992","140,924","148,173"
Fixed Assets +,"7,479","8,662","9,828","9,544","11,638","11,774","11,701","11,973","12,290","20,928","21,021","21,298","20,277"
CWIP,"1,194","1,446","1,895","3,168","2,766","1,670","1,541","1,278",963,906,926,"1,205","1,513"
Investments,"1,763","1,350","1,897","3,434","1,662","22,822","41,980","36,008","29,330","26,356","29,373","30,485","43,118"
Other Assets +,"22,136","29,698","38,312","50,682","57,252","52,025","47,111","55,867","71,318","71,930","78,672","87,936","83,265"
Total Assets,"32,572","41,157","51,932","66,829","73,318","88,291","102,333","105,126","113,901","120,120","129,992","140,924","148,173"
