,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,0,22,22,22,22,22
Reserves,0,670,664,658,728,752
Borrowings +,0,929,992,880,940,719
Other Liabilities +,0,460,529,630,777,895
Total Liabilities,0,"2,060","2,207","2,190","2,467","2,388"
Fixed Assets +,0,"1,165","1,172","1,028",919,859
CWIP,0,129,100,41,49,66
Investments,0,2,2,2,2,2
Other Assets +,0,765,934,"1,120","1,497","1,461"
Total Assets,0,"2,060","2,207","2,190","2,467","2,388"
