,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,11,11,11,13,13,13,13,14,14,14,14,14
Reserves,207,228,456,659,954,"1,013","1,015","1,309","1,372","1,432","1,473","1,498"
Borrowings +,203,471,493,397,865,"1,034","1,133",786,622,911,"1,230","1,178"
Other Liabilities +,146,225,225,306,446,510,513,522,646,727,756,870
Total Liabilities,566,935,"1,185","1,375","2,278","2,570","2,674","2,631","2,655","3,085","3,474","3,560"
Fixed Assets +,248,422,768,812,"1,197","1,505","1,519","1,588","1,514","1,524","1,681","1,950"
CWIP,29,125,8,30,333,62,119,34,63,152,209,121
Investments,14,11,12,36,11,11,11,11,29,136,33,20
Other Assets +,275,376,397,498,737,992,"1,024",998,"1,049","1,274","1,550","1,469"
Total Assets,566,935,"1,185","1,375","2,278","2,570","2,674","2,631","2,655","3,085","3,474","3,560"
