,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3
Reserves,103,113,126,149,160
Borrowings +,47,65,65,80,91
Other Liabilities +,116,72,108,125,121
Total Liabilities,270,253,302,357,375
Fixed Assets +,118,124,130,142,137
CWIP,3,16,38,51,82
Investments,0,0,0,0,0
Other Assets +,148,113,134,164,156
Total Assets,270,253,302,357,375
