,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,22,22
Reserves,393,412,439,453,466
Borrowings +,404,445,369,380,353
Other Liabilities +,398,339,414,473,485
Total Liabilities,"1,205","1,207","1,233","1,327","1,326"
Fixed Assets +,832,817,860,856,862
CWIP,51,143,83,62,42
Investments,17,21,24,26,28
Other Assets +,305,226,266,382,394
Total Assets,"1,205","1,207","1,233","1,327","1,326"
