,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,5.83,7.51,8.61,8.61,15.61,15.61,15.61,15.61,15.61,8.61,8.61,8.61
Reserves,22.55,26.67,24.11,22.13,24.71,25.17,27.49,28.62,30.08,-0.56,-0.64,-1.68
Borrowings +,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.40,0.05
Other Liabilities +,2.73,4.19,4.32,6.78,10.53,10.68,11.02,11.09,10.81,1.29,3.86,1.32
Total Liabilities,31.14,38.40,37.04,37.52,43.85,44.46,47.12,48.32,49.50,16.34,15.23,8.30
Fixed Assets +,3.13,2.87,2.66,2.44,1.07,1.06,1.05,0.97,0.97,0.97,0.97,0.00
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,28.01,35.53,34.38,35.08,42.78,43.40,46.07,47.35,48.53,15.37,14.26,8.30
Total Assets,31.14,38.40,37.04,37.52,43.85,44.46,47.12,48.32,49.50,16.34,15.23,8.30
