,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2022
Share Capital +,15,15,15,15,15,15,15,45,45,45
Reserves,624,707,780,811,850,971,"1,068","1,972","2,549","2,127"
Borrowings +,0,0,0,0,0,0,0,"2,755","1,424","14,119"
Other Liabilities +,175,207,178,161,181,228,241,"1,405","1,890","6,333"
Total Liabilities,815,929,973,987,"1,046","1,214","1,324","6,177","5,909","22,624"
Fixed Assets +,162,150,148,164,155,149,220,"4,615","4,342","16,792"
CWIP,16,16,20,9,6,6,7,37,24,209
Investments,128,204,208,285,263,200,244,18,21,"1,077"
Other Assets +,510,558,597,529,622,860,853,"1,507","1,522","4,546"
Total Assets,815,929,973,987,"1,046","1,214","1,324","6,177","5,909","22,624"
