,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,37,44,44,37,25,44,26,26,26,26,26
Reserves,41,44,50,59,96,332,372,458,498,533,612,666
Borrowings +,392,360,331,276,259,185,204,211,226,194,231,215
Other Liabilities +,89,111,127,167,189,134,208,192,143,160,193,193
Total Liabilities,539,531,525,520,561,677,810,887,892,912,"1,062","1,099"
Fixed Assets +,282,299,285,275,277,299,307,317,444,444,450,458
CWIP,26,0,0,0,4,0,6,54,0,10,8,2
Investments,1,1,1,1,1,58,31,0,0,0,0,21
Other Assets +,230,230,240,244,280,319,465,515,448,458,604,618
Total Assets,539,531,525,520,561,677,810,887,892,912,"1,062","1,099"
