,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,22,22,22,22,24,24,22,18
Reserves,107,107,107,90,93,124,163,190
Borrowings +,179,261,263,302,263,307,366,362
Other Liabilities +,54,75,93,64,85,115,103,111
Total Liabilities,356,458,478,472,455,561,648,679
Fixed Assets +,187,281,285,270,258,267,278,382
CWIP,20,7,0,1,1,10,90,1
Investments,1,0,0,0,0,0,3,0
Other Assets +,148,169,193,201,196,283,276,295
Total Assets,356,458,478,472,455,561,648,679
