,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,13,25,31,31,526,54,64,52,52,52
Reserves,734,855,774,529,197,-375,-784,185,486,71,-168,260,244
Borrowings +,"1,442","2,289","2,646","3,006","2,545","2,493","2,259","1,902","1,823","2,025","1,265","1,083","1,082"
Other Liabilities +,210,318,650,390,997,"1,282","1,794","1,023",700,959,793,509,505
Total Liabilities,"2,398","3,473","4,083","3,938","3,765","3,431","3,300","3,156","3,058","3,106","1,943","1,904","1,883"
Fixed Assets +,647,"1,516","2,448","3,167","3,061","3,272","3,190","2,874","2,623","2,635","1,439","1,484","1,346"
CWIP,"1,017","1,261",736,562,560,0,0,0,2,1,2,2,2
Investments,15,20,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,719,677,899,208,144,160,110,282,433,470,502,417,534
Total Assets,"2,398","3,473","4,083","3,938","3,765","3,431","3,300","3,156","3,058","3,106","1,943","1,904","1,883"
