,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,310,263,192,214,324,409,495,608,724,789,865,"1,022","1,099"
Borrowings +,203,248,274,239,173,142,90,30,61,91,68,54,56
Other Liabilities +,630,646,595,586,532,593,637,601,689,865,"1,114",957,946
Total Liabilities,"1,155","1,170","1,074","1,050","1,042","1,157","1,235","1,252","1,488","1,759","2,061","2,046","2,114"
Fixed Assets +,201,195,160,136,121,118,198,190,191,226,235,228,243
CWIP,16,32,42,69,79,85,1,0,0,0,0,0,1
Investments,0,2,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,938,940,872,846,841,954,"1,036","1,062","1,296","1,533","1,826","1,818","1,870"
Total Assets,"1,155","1,170","1,074","1,050","1,042","1,157","1,235","1,252","1,488","1,759","2,061","2,046","2,114"
