,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,11,11,11,11,11,11
Reserves,57,116,187,199,186,174,179,181
Borrowings +,23,38,46,28,58,58,78,100
Other Liabilities +,41,56,65,61,53,51,54,56
Total Liabilities,130,220,309,299,307,294,322,347
Fixed Assets +,39,104,105,117,116,184,180,178
CWIP,2,4,16,35,62,2,4,9
Investments,5,0,0,0,0,0,0,0
Other Assets +,83,112,188,147,130,108,138,160
Total Assets,130,220,309,299,307,294,322,347
