,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,10,10,10,10,10,10,14
Reserves,397,364,331,364,418,460,580,643,758,659,895,"1,089","1,151"
Borrowings +,31,43,17,6,24,176,55,34,16,86,185,159,213
Other Liabilities +,318,391,196,279,355,345,552,545,744,861,856,"1,297","1,474"
Total Liabilities,756,809,554,659,808,992,"1,198","1,232","1,528","1,616","1,947","2,555","2,851"
Fixed Assets +,166,188,22,17,23,120,118,114,199,298,324,427,426
CWIP,3,2,0,0,0,0,0,0,1,0,0,0,8
Investments,19,24,22,58,64,52,128,198,146,14,76,159,25
Other Assets +,569,595,511,584,721,820,951,920,"1,182","1,305","1,547","1,970","2,392"
Total Assets,756,809,554,659,808,992,"1,198","1,232","1,528","1,616","1,947","2,555","2,851"
