,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,12,12,12,12,12,12,12,12,12,12,18
Reserves,106,136,131,121,105,70,57,68,70,70,78,123,186
Borrowings +,65,52,165,187,178,181,215,190,172,168,135,90,44
Other Liabilities +,78,60,60,78,92,96,70,80,64,66,83,110,83
Total Liabilities,259,260,368,397,386,359,354,349,317,316,308,335,332
Fixed Assets +,122,97,91,104,250,251,226,202,188,188,179,168,162
CWIP,7,5,125,166,1,0,0,1,4,0,0,0,3
Investments,0,0,0,0,0,-0,-0,-0,-0,-0,-0,5,5
Other Assets +,131,157,152,127,135,107,128,147,125,128,129,161,162
Total Assets,259,260,368,397,386,359,354,349,317,316,308,335,332
