,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32
Reserves,40.07,34.73,33.91,33.77,33.65,33.52,33.43,33.40,33.39,33.35,31.86,31.12,30.54
Borrowings +,-0.00,0.10,0.09,0.20,0.30,0.50,0.47,1.27,0.81,1.71,2.71,2.88,3.44
Other Liabilities +,1.62,1.42,0.66,0.86,0.91,1.44,1.78,1.95,2.35,2.10,1.90,2.17,2.20
Total Liabilities,67.01,61.57,59.98,60.15,60.18,60.78,61.00,61.94,61.87,62.48,61.79,61.49,61.50
Fixed Assets +,2.55,2.53,2.43,2.38,2.26,2.14,2.21,2.18,2.09,1.99,1.91,1.86,1.84
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,18.57,18.50,18.50,18.35,18.35,18.35,18.32,18.32,18.03,17.79,17.49,17.49,17.49
Other Assets +,45.89,40.54,39.05,39.42,39.57,40.29,40.47,41.44,41.75,42.70,42.39,42.14,42.17
Total Assets,67.01,61.57,59.98,60.15,60.18,60.78,61.00,61.94,61.87,62.48,61.79,61.49,61.50
