,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,960,960,960,32,32,32
Reserves,2,10,37,"1,030","1,098","1,112"
Borrowings +,231,102,83,41,32,70
Other Liabilities +,"1,086","1,106","1,115",70,99,107
Total Liabilities,"1,319","1,218","1,236","1,173","1,260","1,322"
Fixed Assets +,"1,085",980,948,868,868,868
CWIP,1,4,3,1,5,48
Investments,64,10,9,29,73,68
Other Assets +,169,223,276,276,314,338
Total Assets,"1,319","1,218","1,236","1,173","1,260","1,322"
