,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,17,19,19,19,19,19,19,22,22,22,22,22
Reserves,463,563,602,595,592,407,410,410,395,389,370,329
Borrowings +,53,40,82,95,118,139,150,117,119,113,116,114
Other Liabilities +,51,45,59,26,29,38,42,49,52,59,67,75
Total Liabilities,585,665,762,735,757,603,621,599,589,582,575,539
Fixed Assets +,116,187,223,143,216,166,148,119,88,32,79,46
CWIP,1,17,22,145,136,89,120,237,227,227,132,132
Investments,17,22,21,4,5,4,4,4,4,4,4,0
Other Assets +,450,440,495,443,400,344,350,239,269,319,360,361
Total Assets,585,665,762,735,757,603,621,599,589,582,575,539
