,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,444,458,387,577,705
Expenses +,407,402,344,505,605
Operating Profit,36,56,43,72,100
OPM %,8%,12%,11%,12%,14%
Other Income +,2,2,17,13,11
Interest,11,24,20,21,16
Depreciation,5,33,33,32,33
Profit before tax,22,2,7,32,62
Tax %,39%,168%,29%,26%,
Net Profit,13,-1,5,23,46
EPS in Rs,7.91,-0.73,2.61,12.26,21.82
