,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,72,72,72,72,72,72,72,72,72,72,72,72,72
Reserves,880,"1,045","1,151","1,222","1,139","1,168","1,242","1,251","1,155","1,107",698,511,288
Borrowings +,"1,337","1,770","2,625","2,020","2,118","2,303","2,001","2,228","2,259","2,143","1,943","1,878","1,909"
Other Liabilities +,"3,018","3,058","2,727","3,544","3,314","3,148","3,111","3,226","3,217","2,923","2,677","2,903","2,958"
Total Liabilities,"5,307","5,945","6,576","6,858","6,643","6,691","6,426","6,777","6,704","6,245","5,389","5,365","5,227"
Fixed Assets +,198,310,450,440,421,494,488,493,493,403,370,336,332
CWIP,86,103,125,157,5,0,0,0,0,0,0,0,0
Investments,1,1,1,0,0,1,1,1,1,0,1,1,1
Other Assets +,"5,022","5,531","6,000","6,260","6,217","6,196","5,937","6,283","6,211","5,841","5,018","5,028","4,894"
Total Assets,"5,307","5,945","6,576","6,858","6,643","6,691","6,426","6,777","6,704","6,245","5,389","5,365","5,227"
