,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,20,19,106,45,45,45
Reserves,85,111,107,121,61,15
Borrowings +,114,207,252,311,310,326
Other Liabilities +,88,208,235,116,141,107
Total Liabilities,303,542,611,568,531,468
Fixed Assets +,67,103,107,161,147,136
CWIP,0,4,46,3,3,3
Investments,0,0,0,0,0,0
Other Assets +,236,435,458,404,381,328
Total Assets,303,542,611,568,531,468
