,Mar 2021,Mar 2022,Sep 2022
Share Capital +,142,144,144
Reserves,169,168,163
Borrowings +,0,0,0
Other Liabilities +,120,150,148
Total Liabilities,432,462,455
Fixed Assets +,182,197,189
CWIP,13,5,3
Investments,0,0,0
Other Assets +,237,260,262
Total Assets,432,462,455
