,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,35,40,40,40,40,40,72,72,72,72,72,72
Reserves,13,22,62,72,86,109,102,133,147,101,71,45,38
Borrowings +,4,0,0,0,5,35,145,173,132,130,109,98,100
Other Liabilities +,54,73,77,71,83,94,89,96,102,123,125,117,121
Total Liabilities,106,130,178,183,214,278,375,474,454,426,377,333,331
Fixed Assets +,33,31,67,101,66,73,85,65,112,141,113,93,93
CWIP,1,16,12,7,4,11,4,1,2,7,0,1,1
Investments,24,14,17,12,1,1,0,0,0,6,0,0,0
Other Assets +,47,68,81,63,142,193,286,408,339,272,264,240,236
Total Assets,106,130,178,183,214,278,375,474,454,426,377,333,331
