,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,20,19,19,18,18,141,141,141,141,141,141,141
Reserves,400,590,716,961,"1,124","1,432","1,589","2,032","2,424","2,865","3,421","3,779","3,890"
Borrowings +,"1,058",980,949,698,764,831,694,814,730,750,641,430,651
Other Liabilities +,655,748,656,838,879,"1,000","1,087","1,353","1,475","1,306","1,544","1,507","1,825"
Total Liabilities,"2,129","2,336","2,339","2,515","2,784","3,281","3,510","4,340","4,770","5,062","5,747","5,857","6,507"
Fixed Assets +,"1,151","1,195","1,181","1,271","1,453","1,587","1,634","1,851","2,163","2,606","2,603","2,715","2,923"
CWIP,35,57,32,14,22,103,44,59,118,126,96,119,141
Investments,0,0,8,10,1,48,33,46,36,166,444,487,491
Other Assets +,944,"1,084","1,118","1,221","1,309","1,542","1,800","2,383","2,453","2,164","2,604","2,536","2,952"
Total Assets,"2,129","2,336","2,339","2,515","2,784","3,281","3,510","4,340","4,770","5,062","5,747","5,857","6,507"
