,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,15,15,15,15,15,15
Reserves,249,323,380,485,604,716,944,"1,272"
Borrowings +,102,40,54,128,125,89,59,45
Other Liabilities +,63,76,81,74,108,127,219,299
Total Liabilities,419,445,530,702,852,948,"1,236","1,631"
Fixed Assets +,125,97,88,78,217,196,229,217
CWIP,6,3,32,106,6,26,14,21
Investments,0,11,11,10,33,31,31,35
Other Assets +,289,334,399,508,597,694,962,"1,357"
Total Assets,419,445,530,702,852,948,"1,236","1,631"
