,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,13,13,13,13,13,13
Reserves,30,33,36,53,63,68,69,74,75
Borrowings +,22,23,17,3,8,10,1,0,10
Other Liabilities +,27,45,17,49,49,41,42,39,34
Total Liabilities,85,107,76,117,133,132,124,126,132
Fixed Assets +,15,16,17,16,19,19,19,22,26
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,1,1
Other Assets +,70,90,59,101,113,112,104,102,105
Total Assets,85,107,76,117,133,132,124,126,132
