,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,132,268,307,307,307,307,159,170,170,187,197,212,39
Reserves,-164,-428,-543,-661,-691,-671,-300,-419,-482,-617,-692,-775,-780
Borrowings +,"1,202","1,077","1,055","1,075","1,057",817,550,592,641,582,613,542,742
Other Liabilities +,241,409,546,645,635,474,229,205,180,222,236,239,16
Total Liabilities,"1,317","1,097","1,097","1,099","1,040",659,519,417,378,226,196,45,17
Fixed Assets +,631,593,548,510,469,434,365,321,289,152,109,2,2
CWIP,9,6,2,2,3,3,7,0,0,-0,-0,-0,-0
Investments,2,0,0,0,0,0,1,1,1,1,1,1,1
Other Assets +,675,497,546,586,568,222,146,95,87,73,86,42,13
Total Assets,"1,317","1,097","1,097","1,099","1,040",659,519,417,378,226,196,45,17
