,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Sales +,31,17,51,57,62,42,13
Expenses +,17,35,51,53,50,33,27
Operating Profit,14,-18,-0,4,12,9,-14
OPM %,45%,-104%,-0%,7%,19%,22%,-106%
Other Income +,1,13,1,1,3,-161,6
Interest,2,2,3,3,3,7,6
Depreciation,8,9,11,16,10,12,6
Profit before tax,6,-16,-13,-14,1,-171,-20
Tax %,-72%,-1%,-1%,-1%,35%,-0%,-0%
Net Profit,10,-16,-13,-14,1,-171,-20
EPS in Rs,,,,,,,-4.52
