,Mar 2017,Mar 2018,Mar 2019
Share Capital +,13,13,13
Reserves,234,260,280
Borrowings +,94,91,76
Other Liabilities +,129,133,185
Total Liabilities,469,497,554
Fixed Assets +,326,352,381
CWIP,27,43,49
Investments,0,0,0
Other Assets +,116,102,124
Total Assets,469,497,554
