,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Dec 2010
Share Capital +,9,14,18,18,18
Reserves,22,75,243,262,261
Borrowings +,2,7,18,20,13
Other Liabilities +,5,17,26,32,126
Total Liabilities,38,112,305,332,418
Fixed Assets +,10,33,144,141,104
CWIP,1,1,1,1,1
Investments,0,0,1,2,36
Other Assets +,27,78,158,188,277
Total Assets,38,112,305,332,418
