,Mar 2017,Sep 2017
Share Capital +,22,22
Reserves,152,162
Borrowings +,234,182
Other Liabilities +,110,155
Total Liabilities,517,521
Fixed Assets +,296,292
CWIP,0,0
Investments,1,1
Other Assets +,221,228
Total Assets,517,521
