,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,078","1,207","1,668","1,953","2,296","2,456"
Expenses +,923,"1,029","1,398","1,570","1,823","2,068"
Operating Profit,154,178,269,382,473,388
OPM %,14%,15%,16%,20%,21%,16%
Other Income +,2,9,6,10,17,15
Interest,25,24,21,13,16,22
Depreciation,10,11,15,18,18,19
Profit before tax,121,152,239,362,456,362
Tax %,36%,35%,26%,26%,26%,
Net Profit,78,99,177,269,338,265
EPS in Rs,30.84,39.12,70.35,107.47,112.95,89.06
