,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Sales +,166,184,167,156,181,197
Expenses +,115,122,115,108,127,141
Operating Profit,51,62,53,48,54,56
OPM %,31%,34%,32%,31%,30%,28%
Other Income +,1,-1,1,0,2,4
Interest,20,27,29,30,27,28
Depreciation,14,16,13,13,14,14
Profit before tax,18,20,11,5,15,18
Tax %,39%,50%,34%,49%,39%,33%
Net Profit,11,10,7,2,9,12
EPS in Rs,3.63,3.23,2.44,0.82,3.06,3.95
