,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,20,20,20,20,24,24,24,24,24
Reserves,186,219,242,289,304,327,363,520,568,571,574,607,639
Borrowings +,344,358,410,341,292,307,249,232,188,78,49,71,61
Other Liabilities +,315,357,376,389,398,397,248,279,302,217,286,297,345
Total Liabilities,865,953,"1,048","1,039","1,013","1,052",880,"1,051","1,083",890,933,"1,000","1,070"
Fixed Assets +,470,546,609,602,584,600,477,549,533,487,425,399,475
CWIP,24,46,32,75,63,40,23,25,10,3,10,97,21
Investments,30,30,30,1,1,1,103,0,0,0,0,0,0
Other Assets +,342,331,377,361,365,411,278,476,541,401,498,505,574
Total Assets,865,953,"1,048","1,039","1,013","1,052",880,"1,051","1,083",890,933,"1,000","1,070"
