,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,28,28,28,35,35,35,35,35,37,37,37,37,37
Reserves,134,303,308,431,338,312,46,-33,-391,-579,-546,-550,-539
Borrowings +,"1,006",986,984,971,918,976,946,838,764,791,794,710,699
Other Liabilities +,155,146,239,365,333,153,181,225,111,96,71,18,18
Total Liabilities,"1,324","1,464","1,559","1,802","1,624","1,476","1,208","1,065",521,345,356,215,215
Fixed Assets +,94,103,139,141,124,126,257,261,246,190,179,165,162
CWIP,39,33,4,1,1,0,3,0,0,0,0,0,0
Investments,8,48,46,44,44,43,10,0,0,0,0,0,0
Other Assets +,"1,183","1,280","1,371","1,616","1,456","1,307",938,804,275,155,177,50,52
Total Assets,"1,324","1,464","1,559","1,802","1,624","1,476","1,208","1,065",521,345,356,215,215
